Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
excellent,3,poor,excellent,yes,medium,excellent,system developer,Sales and Marketing,Technical,smart worker,Applications Developer
excellent,0,excellent,excellent,yes,poor,excellent,cloud computing,product development,Management,hard worker,UX Designer
excellent,1,medium,poor,no,excellent,excellent,Business process analyst,Sales and Marketing,Management,hard worker,UX Designer
medium,4,poor,medium,yes,poor,excellent,developer,Web Services,Management,hard worker,Database Developer
excellent,0,medium,medium,yes,poor,medium,developer,Finance,Management,smart worker,Mobile Applications Developer
medium,1,excellent,excellent,yes,poor,poor,developer,Cloud Services,Management,hard worker,Network Security Engineer
medium,1,excellent,medium,no,excellent,medium,testing,Product based,Technical,hard worker,UX Designer
medium,5,poor,excellent,no,medium,poor,system developer,Cloud Services,Technical,smart worker,Applications Developer
excellent,6,excellent,medium,yes,excellent,excellent,security,Sales and Marketing,Management,hard worker,Technical Support
medium,5,medium,medium,yes,excellent,medium,Business process analyst,product development,Technical,hard worker,Database Developer
poor,5,medium,poor,no,medium,excellent,Business process analyst,Service Based,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,2,poor,medium,no,excellent,excellent,developer,Web Services,Management,smart worker,Software Engineer
medium,3,excellent,poor,no,medium,medium,cloud computing,BPA,Technical,smart worker,Web Developer
poor,4,medium,medium,yes,medium,excellent,Business process analyst,Web Services,Management,smart worker,Network Security Engineer
excellent,5,excellent,excellent,yes,excellent,excellent,system developer,Service Based,Management,smart worker,Database Developer
poor,2,excellent,excellent,no,medium,medium,security,product development,Management,hard worker,Web Developer
excellent,6,medium,excellent,yes,excellent,medium,developer,Cloud Services,Management,smart worker,UX Designer
poor,1,excellent,poor,yes,excellent,medium,Business process analyst,Service Based,Management,smart worker,Web Developer
medium,6,medium,medium,yes,excellent,poor,system developer,Web Services,Technical,smart worker,Mobile Applications Developer
medium,6,poor,poor,yes,medium,poor,cloud computing,Web Services,Technical,smart worker,Web Developer
excellent,5,excellent,poor,no,poor,poor,developer,Product based,Technical,smart worker,Software Engineer
excellent,2,excellent,excellent,yes,medium,medium,system developer,Web Services,Technical,hard worker,Technical Support
poor,6,excellent,excellent,yes,excellent,medium,developer,Sales and Marketing,Technical,smart worker,Technical Support
poor,0,medium,poor,yes,medium,poor,security,Finance,Management,smart worker,Web Developer
excellent,3,excellent,medium,no,poor,excellent,security,Product based,Management,hard worker,Applications Developer
medium,3,poor,excellent,no,medium,medium,cloud computing,Product based,Technical,smart worker,Web Developer
excellent,2,medium,excellent,no,poor,excellent,testing,Web Services,Technical,hard worker,UX Designer
excellent,5,excellent,medium,no,medium,poor,Business process analyst,Cloud Services,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,0,excellent,excellent,yes,medium,poor,cloud computing,Sales and Marketing,Technical,smart worker,Technical Support
medium,6,excellent,excellent,no,medium,excellent,cloud computing,Testing and Maintainance Services,Management,hard worker,Web Developer
medium,4,medium,poor,yes,excellent,poor,testing,Sales and Marketing,Management,hard worker,Network Security Engineer
poor,2,medium,poor,yes,excellent,medium,Business process analyst,product development,Management,hard worker,Systems Security Administrator
poor,0,medium,medium,no,poor,medium,developer,SAaS services,Technical,hard worker,UX Designer
excellent,5,excellent,medium,yes,poor,poor,security,Web Services,Technical,smart worker,Software Developer
excellent,6,excellent,poor,yes,medium,medium,Business process analyst,Cloud Services,Technical,hard worker,Web Developer
medium,4,medium,poor,no,poor,poor,testing,Cloud Services,Technical,smart worker,Mobile Applications Developer
excellent,1,excellent,excellent,yes,medium,poor,Business process analyst,BPA,Technical,hard worker,CRM Technical Developer
poor,4,medium,medium,yes,poor,medium,testing,Service Based,Technical,smart worker,Network Security Engineer
excellent,1,excellent,excellent,yes,medium,poor,cloud computing,SAaS services,Management,smart worker,Network Security Engineer
poor,2,excellent,poor,yes,excellent,poor,cloud computing,Web Services,Management,smart worker,Systems Security Administrator
excellent,0,poor,poor,yes,excellent,excellent,Business process analyst,BPA,Technical,hard worker,Software Quality Assurance (QA) / Testing
medium,2,poor,excellent,no,medium,poor,cloud computing,Finance,Technical,smart worker,Systems Security Administrator
excellent,5,poor,excellent,no,excellent,medium,security,Testing and Maintainance Services,Management,hard worker,Web Developer
poor,2,excellent,excellent,yes,medium,excellent,developer,Web Services,Technical,hard worker,Network Security Engineer
poor,5,excellent,poor,yes,medium,poor,developer,Finance,Technical,hard worker,Technical Support
excellent,3,medium,medium,yes,poor,medium,system developer,Testing and Maintainance Services,Technical,hard worker,Software Engineer
medium,4,poor,excellent,no,medium,excellent,Business process analyst,SAaS services,Technical,smart worker,Software Engineer
excellent,6,excellent,medium,no,poor,medium,system developer,Testing and Maintainance Services,Management,smart worker,Systems Security Administrator
medium,2,poor,medium,no,medium,excellent,system developer,Testing and Maintainance Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
poor,4,medium,medium,yes,medium,poor,security,Product based,Management,hard worker,Database Developer
excellent,4,excellent,medium,no,poor,medium,security,BPA,Management,hard worker,Network Security Engineer
poor,2,excellent,excellent,no,excellent,poor,Business process analyst,product development,Management,smart worker,Software Engineer
medium,5,medium,medium,no,medium,medium,developer,Finance,Management,hard worker,Database Developer
medium,3,medium,poor,yes,excellent,medium,system developer,Cloud Services,Technical,hard worker,Network Security Engineer
medium,2,medium,poor,yes,medium,medium,security,Sales and Marketing,Technical,smart worker,Network Security Engineer
poor,1,poor,excellent,no,excellent,medium,testing,Sales and Marketing,Technical,smart worker,UX Designer
poor,6,poor,poor,yes,medium,poor,Business process analyst,Sales and Marketing,Management,smart worker,Technical Support
excellent,4,excellent,poor,yes,medium,medium,Business process analyst,Product based,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,0,excellent,excellent,no,medium,medium,cloud computing,Finance,Technical,hard worker,Technical Support
excellent,3,medium,medium,no,medium,medium,system developer,BPA,Management,hard worker,Software Developer
medium,6,excellent,excellent,no,excellent,excellent,security,Sales and Marketing,Management,smart worker,UX Designer
medium,1,poor,poor,no,excellent,medium,system developer,Testing and Maintainance Services,Technical,smart worker,Web Developer
poor,6,excellent,excellent,no,excellent,medium,Business process analyst,Cloud Services,Management,hard worker,Mobile Applications Developer
excellent,3,medium,excellent,no,poor,medium,security,Sales and Marketing,Technical,smart worker,Network Security Engineer
excellent,5,excellent,medium,no,poor,excellent,Business process analyst,Cloud Services,Management,hard worker,Web Developer
excellent,4,medium,excellent,no,poor,medium,Business process analyst,SAaS services,Technical,hard worker,Systems Security Administrator
excellent,1,medium,excellent,yes,excellent,medium,Business process analyst,Finance,Management,smart worker,Network Security Engineer
medium,4,poor,excellent,no,medium,medium,security,Product based,Technical,smart worker,Network Security Engineer
poor,0,excellent,medium,no,medium,medium,testing,Cloud Services,Management,hard worker,UX Designer
poor,4,excellent,medium,yes,poor,poor,security,Web Services,Management,smart worker,Technical Support
medium,5,medium,excellent,yes,excellent,poor,system developer,BPA,Technical,hard worker,CRM Technical Developer
excellent,5,excellent,medium,yes,medium,poor,developer,product development,Management,smart worker,Software Developer
medium,3,poor,excellent,no,poor,excellent,security,BPA,Management,hard worker,UX Designer
poor,1,poor,excellent,no,excellent,poor,security,Web Services,Technical,hard worker,Web Developer
medium,4,poor,poor,yes,medium,excellent,Business process analyst,Sales and Marketing,Technical,smart worker,Applications Developer
poor,6,medium,excellent,yes,medium,poor,security,Finance,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,2,medium,medium,yes,excellent,medium,developer,Web Services,Management,smart worker,Web Developer
excellent,0,excellent,medium,no,medium,excellent,testing,Service Based,Technical,smart worker,Database Developer
medium,2,excellent,poor,yes,poor,excellent,system developer,Cloud Services,Management,hard worker,Network Security Engineer
medium,3,excellent,medium,yes,medium,poor,testing,Testing and Maintainance Services,Management,hard worker,Database Developer
poor,2,poor,excellent,yes,medium,excellent,system developer,Finance,Technical,hard worker,Database Developer
poor,3,medium,excellent,yes,medium,medium,testing,Testing and Maintainance Services,Management,hard worker,UX Designer
poor,0,excellent,poor,yes,excellent,medium,developer,Service Based,Management,smart worker,Technical Support
poor,6,excellent,poor,yes,poor,poor,cloud computing,Finance,Management,smart worker,Software Developer
medium,5,medium,poor,yes,excellent,medium,developer,product development,Technical,smart worker,Software Engineer
poor,4,excellent,excellent,yes,excellent,medium,testing,Sales and Marketing,Technical,hard worker,Database Developer
excellent,0,poor,medium,no,poor,excellent,security,Product based,Management,hard worker,Software Engineer
medium,4,excellent,medium,yes,poor,poor,system developer,Testing and Maintainance Services,Technical,smart worker,Software Engineer
medium,5,poor,excellent,no,medium,poor,testing,Sales and Marketing,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,4,medium,excellent,yes,poor,medium,Business process analyst,product development,Technical,hard worker,Database Developer
